City_ID,City,Max Temp,Cloudiness,Lat,Lng,Hotel Name
0,Coihaique,68.0,0,-45.5752,-72.0662,
2,Kaitangata,66.0,92,-46.2817,169.8464,
9,Los Llanos De Aridane,64.4,75,28.6585,-17.9182,
25,Ukiah,69.01,1,39.1502,-123.2078,
30,Kidal,68.83,60,18.4411,1.4078,
35,Raga,64.8,93,8.4596,25.678,
39,Lodja,69.57,100,-3.4833,23.4333,
44,Mungwi,62.56,100,-10.1732,31.3694,
47,Mar Del Plata,69.01,0,-38.0023,-57.5575,
51,Hermanus,64.0,0,-34.4187,19.2345,
52,Busselton,63.0,30,-33.65,115.3333,
57,Bredasdorp,68.0,73,-34.5322,20.0403,
71,Cape Town,69.01,75,-33.9258,18.4232,
88,Castro,64.02,53,-24.7911,-50.0119,
92,Port Lincoln,61.65,38,-34.7333,135.8667,
93,Chuy,65.68,0,-33.6971,-53.4616,
94,Choma,65.3,100,-16.8065,26.9531,
106,Saldanha,64.4,36,-33.0117,17.9442,
107,Kunigal,65.43,4,13.0222,77.0267,
115,Victoria,60.01,0,22.2855,114.1577,
117,Gwadar,64.2,0,25.1216,62.3254,
120,Ribeira Grande,62.6,75,38.5167,-28.7,
121,Antofagasta,64.4,75,-23.65,-70.4,
125,Saint George,62.01,1,37.1041,-113.5841,
126,Ambatofinandrahana,64.76,99,-20.55,46.8,
127,George,66.2,75,-33.963,22.4617,
134,Maltahohe,66.74,98,-24.8333,16.9833,
135,Galveston,66.2,1,29.3669,-94.9669,
148,Dunda,65.77,85,-8.1167,34.25,
152,Praia Da Vitoria,62.6,75,38.7333,-27.0667,
165,Port Elizabeth,68.0,90,-33.918,25.5701,
171,Wanning,60.71,33,18.8003,110.3967,
172,Fontem,66.31,1,5.4685,9.8818,
174,Broken Hill,62.6,9,-31.95,141.4333,
190,Ishigaki,64.4,20,24.3448,124.1572,
193,Chalmette,66.2,1,29.9427,-89.9634,
201,San Carlos De Bariloche,68.0,0,-41.1456,-71.3082,
202,Naze,64.4,20,28.3667,129.4833,
204,Half Moon Bay,68.0,1,37.4636,-122.4286,
206,Pacific Grove,64.4,1,36.6177,-121.9166,
217,Opopeo,63.0,100,19.4,-101.6,
224,Dakar,66.2,0,14.6937,-17.4441,
236,Malanje,61.3,100,-9.5402,16.340999999999998,
238,Werota,60.33,9,11.9167,37.7,
239,Laguna,61.0,1,38.421,-121.4238,
250,Vila Franca Do Campo,61.0,40,37.7167,-25.4333,
264,San Quintin,68.85,0,30.4833,-115.95,
272,Maneadero,69.01,0,31.7167,-116.5667,
277,Luderitz,64.29,27,-26.6481,15.1594,
285,Bandar-E Lengeh,62.67,64,26.5579,54.8807,
295,Nirmal,62.82,0,19.1,78.35,
316,Hirara,66.2,75,24.8,125.2833,
319,Wad Rawah,68.31,15,15.1603,33.1397,
328,Eureka,64.0,20,40.8021,-124.1637,
334,Colomi,62.6,75,-17.35,-65.8667,
335,Rocha,61.54,0,-34.4833,-54.3333,
345,Rio Gallegos,64.4,40,-51.6226,-69.2181,
346,Buraydah,60.8,40,26.326,43.975,
366,Venice,62.01,1,27.0998,-82.4543,
374,Menongue,63.93,100,-14.6585,17.691,
380,Hokitika,66.6,84,-42.7167,170.9667,
396,Ponta Delgada,61.0,40,37.7333,-25.6667,
404,North Bend,60.01,90,43.4065,-124.2243,
407,Yarada,69.8,20,17.65,83.2667,
411,Santa Cecilia,61.63,96,-26.9608,-50.4269,
428,Cruzeiro Do Sul,68.0,0,-29.5128,-51.9853,
439,Marsabit,67.21,0,2.3284,37.9899,
445,Biltine,67.46,19,14.5333,20.9167,
448,Port Augusta,68.0,40,-32.5,137.7667,
462,Adrar,60.55,93,20.5022,-10.0711,
472,Kalabo,67.55,100,-14.97,22.6814,
491,Bastrop,60.8,1,32.7562,-91.8724,
495,Nouadhibou,64.4,0,20.930999999999997,-17.0347,
510,Nouakchott,69.8,0,18.0858,-15.9785,
535,Veraval,67.5,1,20.9,70.3667,
545,Del Rio,69.8,1,29.3627,-100.8968,
551,Lagoa,62.01,94,39.05,-27.9833,
571,Chilca,69.8,0,-12.5211,-76.7372,
572,Ngama,69.96,7,11.7833,17.1667,
578,Khorixas,62.46,99,-20.3667,14.9667,
580,Mildura,64.99,78,-34.2,142.15,
585,Nizamabad,63.77,1,18.6667,78.1167,
603,Leon,69.8,75,21.1167,-101.6667,
610,Cam Ranh,66.2,20,11.9214,109.1591,
611,Faxinal,67.06,14,-24.0003,-51.3194,
614,Arlit,68.02,0,18.7369,7.3853,
627,Imbituba,69.8,90,-28.24,-48.6703,
629,Lilongwe,69.31,100,-13.9669,33.7873,
644,Yanam,67.08,6,16.7333,82.2167,
645,Benin,69.75,6,9.5,2.25,
652,Kagoro,66.85,19,9.6,8.3833,
671,Miranda,69.8,40,3.2499,-76.2281,
674,Trat,70.0,100,12.5,102.5,
681,Serenje,63.93,100,-13.2325,30.2352,
684,Srinivaspur,64.4,40,13.3333,78.2167,
688,Coquimbo,62.6,0,-29.9533,-71.3436,
702,Kabinda,65.3,100,-6.1333,24.4833,Village Mianda Mutole
